id	offset	lines	chars	max_line_cells	japanese	english	notes
0	0x0033a6	1	10	10	辻斬り事件		
1	0x0033be	1	10	10	3ヶ月後		
2	0x0033d6	6	30	5	見る\n話す\n移動\nァイテム\nコンタクト		
3	0x00342e	7	42	6	現場1\n現場2\n現場3\n渋谷\n逆島屋\n緋文楼\n暁		
4	0x00349e	6	36	6	横浜\nナット\nデータネット\n十日堂\nZZZ		
5	0x003510	4	24	6	ナット\nデータネット\n十日堂\nトリプルZ		
6	0x003558	2	6	3	はい\nいいえ		
7	0x003570	3	28	13	わかってもらえるだろうか？\nあたしには\nたくさんの仲間がいる		
8	0x0035b0	3	33	12	六堂、紫雲、Dヘッド\nそして、彼らのほかにも\n眼には見えない仲間たちが		
9	0x0035fa	2	13	10	それは\n街に息づく精霊たちだ		
10	0x00361a	2	25	13	魔力の恵みを受けない人には\n信じられないかもしれない		
11	0x003652	3	18	12	だけど\n街には\n確かに精霊が息づいている		
12	0x00367e	2	23	12	あたしたちシャーマンは\nそうした精霊の力を借りて		
13	0x0036b2	2	18	10	街に隠された力を\n引き出すことができる		
14	0x0036dc	3	18	13	そう\n街には\nたくさんの力が隠されている		
15	0x003708	3	22	14	あたしがまだ触れたことのない\n力さえ\n眠っている		
16	0x00373c	3	24	11	この街は\nまだ、すべての顔を\nあたしに見せてはいない		
17	0x003774	3	21	10	このごろは\nそんな思いに\nとらわれることがある		
18	0x0037a8	2	8	4	店内\nバーテン		
19	0x0037be	3	12	4	仲間\nバーテン\nハジメ		
20	0x0037de	3	18	6	辻斬り事件\n渋谷抗争事件\n検索終了		
21	0x00380a	1	7	7	選択して下さい		
22	0x00381c	2	16	8	真相を明かす\n真相を明かさない		
23	0x003848	2	22	13	いつものシルバー・ムーンだ\nみんなそろっている		
24	0x003882	2	18	12	まじめに話を聞いたほうが\nよさそうだな		
25	0x0038b4	2	10	6	ハジメは\n帰ったようだ		
26	0x0038d6	1	9	9	客は、俺たちだけだ		
27	0x0038f4	1	12	12	マオと何か話しをしている		
28	0x003916	3	26	11	最近は平和なもんだな\nなんとなく\n体がなまりそうな気分だ		
29	0x003958	3	25	10	わたしたちにとっては\nあまり平和なのも\n考えものですね		
30	0x003998	3	22	11	見かけは平和でも\n裏じゃ\nいろいろ動いてるもんさ		
31	0x0039cc	2	15	10	いつお呼びがかかるか\nわからんぜ		
32	0x0039f6	1	10	10	噂をすれば……ですね		
33	0x003a14	3	31	12	……このところ\n暇を持てあましてたからな\n肩ならしにはちょうどいい		
34	0x003a60	1	5	5	高くつくぜ		
35	0x003a74	3	17	8	承知してます\n犯人を\n倒してもらえれば		
36	0x003a9e	2	14	8	4000新円\nお支払いしますよ		
37	0x003ac6	2	13	7	ひさしぶりの\n仕事ってわけだ		
38	0x003aec	1	9	9	詳しい話しを聞こう		
39	0x003b08	2	21	11	犯人の正体が分かれば\n報復するつもりですかね		
40	0x003b3e	2	13	10	あまり\nいい気分じゃないわね		
41	0x003b64	2	17	14	仕事に\nあまり私情を挟むもんじゃない		
42	0x003b8c	2	13	9	俺たちは\n依頼をこなすだけさ		
43	0x003bb2	2	11	7	はいはい\nわかってるわよ		
44	0x003bce	2	14	10	紫雲って\n頭が固いんだから……		
45	0x003bf6	2	9	7	さて\nどう始めるか？		
46	0x003c14	3	26	10	目撃者を見つけるか\n現場をあたってみるか\nそのあたりだな		
47	0x003c56	1	10	10	さて、どう動くかな？		
48	0x003c74	2	14	7	情報屋から何か\n聞き出せないか		
49	0x003c9c	2	20	11	そうだな、情報屋の\nナットに連絡してみよう		
50	0x003cd0	2	14	9	……じゃあ\nこういうのはどう？		
51	0x003cf2	3	30	12	そこにあるけれど\n触れることはできない\nでも、感じることはできる		
52	0x003d36	1	9	9	さて、それはなに？		
53	0x003d52	3	22	9	そうですね……\n『愛情』って\nいうのはどうです？		
