block	line	offset	kind	speaker	flag	win	cells	budget	japanese	english
0	0	0x0033A6	count				10	20	　　　辻斬り事件	
1	0	0x0033BE	count				10	20	　　　3ヶ月後	
2	0	0x0033D6	count				5	10	見る	
2	1	0x0033E2	count				5	10	話す	
2	2	0x0033EE	count				5	10	移動	
2	3	0x0033FA	count				5	10	アイテム	
2	4	0x003406	count				5	10	コンタクト	
2	5	0x003412	count				5	10		
3	0	0x003420	count				6	12	ｼﾙバｰﾑｰﾝ	
3	1	0x00342E	count				6	12	現場1	
3	2	0x00343C	count				6	12	現場2	
3	3	0x00344A	count				6	12	現場3	
3	4	0x003458	count				6	12	渋谷	
3	5	0x003466	count				6	12	逆島屋	
3	6	0x003474	count				6	12	緋文楼	
3	7	0x003482	count				6	12	暁	
3	8	0x003490	count				6	12	ｵﾝﾌｫｰﾙ	
3	9	0x00349E	count				6	12		
3	10	0x0034AC	count				6	12	横浜	
3	11	0x0034BA	count				6	12	ナット	
3	12	0x0034C8	count				6	12	データネット	
3	13	0x0034D6	count				6	12	十日堂	
3	14	0x0034E4	count				6	12	ZZZ	
4	0	0x0034F2	page				6	12	ｴﾝジｪﾙｸﾘﾆｯｸ	
5	0	0x003502	count				5	10	ポｹｯﾄｾｸﾚﾀﾘｰ	
6	0	0x003510	count				6	12	ナット	
6	1	0x00351E	count				6	12	データネット	
6	2	0x00352C	count				6	12	十日堂	
6	3	0x00353A	count				6	12	トリプルZ	
6	4	0x003548	count				6	12	ｴﾝジｪﾙｸﾘﾆｯｸ	
7	0	0x003558	count				3	6	はい	
7	1	0x003560	count				3	6	いいえ	
8	0	0x003570	page	FF00	0000		13	26	わかってもらえるだろうか？	
8	1	0x00358C	page	FF00	0000		5	10	あたしには	
8	2	0x003598	page	FF00	0000		10	20	たくさんの仲間がいる	
9	0	0x0035B0	page			2424	10	20	六堂、紫雲、Dヘッド	
9	1	0x0035C6	page			2424	11	22	そして、彼らのほかにも	
9	2	0x0035DE	page			2424	12	24	眼には見えない仲間たちが	
10	0	0x0035FA	page			2424	3	6	それは	
10	1	0x003602	page			2424	10	20	街に息づく精霊たちだ	
11	0	0x00361A	page			2424	13	26	魔力の恵みを受けない人には	
11	1	0x003636	page			2424	12	24	信じられないかもしれない	
12	0	0x003652	page			2424	3	6	だけど	
12	1	0x00365A	page			2424	3	6	街には	
12	2	0x003662	page			2424	12	24	確かに精霊が息づいている	
13	0	0x00367E	page			2424	11	22	あたしたちシャーマンは	
13	1	0x003696	page			2424	12	24	そうした精霊の力を借りて	
14	0	0x0036B2	page			2424	8	16	街に隠された力を	
14	1	0x0036C4	page			2424	10	20	引き出すことができる	
15	0	0x0036DC	page			2424	2	4	そう	
15	1	0x0036E2	page			2424	3	6	街には	
15	2	0x0036EA	page			2424	13	26	たくさんの力が隠されている	
16	0	0x003708	page			2424	14	28	あたしがまだ触れたことのない	
16	1	0x003726	page			2424	3	6	力さえ	
16	2	0x00372E	page			2424	5	10	眠っている	
17	0	0x00373C	page			2424	4	8	この街は	
17	1	0x003746	page			2424	9	18	まだ、すべての顔を	
17	2	0x00375A	page			2424	11	22	あたしに見せてはいない	
18	0	0x003774	page			2424	5	10	このごろは	
18	1	0x003780	page			2424	6	12	そんな思いに	
18	2	0x00378E	page			2424	10	20	とらわれることがある	
