index	count
0	156
1	81
2	28
3	178
4	69
5	4
6	75
7	1
8	324
9	34
10	34
11	5
12	10
13	6
14	5
15	2
16	1
17	1
18	1
19	1
20	1
22	2
25	5
26	3
27	240
28	658
29	291
30	4
31	158
32	1
33	76
34	399
35	311
36	114
37	5
38	136
39	4
40	130
41	13
42	277
43	16
44	162
45	2
46	319
47	117
48	196
49	18
50	47
51	27
52	149
53	4
54	520
55	260
56	153
57	412
58	101
59	7
60	441
61	250
62	276
63	130
64	485
65	332
66	139
67	438
68	323
69	35
70	3
71	18
72	10
73	1
74	5
75	22
76	30
77	3
78	24
79	1
80	1
81	225
82	62
83	11
84	48
85	203
86	105
87	80
88	25
89	133
90	235
91	236
92	279
93	198
94	67
95	140
96	197
97	316
98	2
99	1
100	31
101	28
102	1
103	9
104	3
105	12
106	7
107	6
108	9
109	46
110	12
111	46
112	6
113	4
114	9
115	21
116	6
117	17
118	27
119	21
120	1
121	48
122	7
123	23
124	21
125	2
126	4
127	5
128	44
129	8
130	4
131	4
132	5
133	15
134	23
135	2
136	3
137	16
138	6
139	8
140	2
141	2
142	3
143	1
144	2
145	12
147	13
148	70
149	2
150	51
151	3
152	2
153	1
154	11
155	20
156	35
157	58
158	1
159	12
160	96
161	2
162	1
163	1
164	5
165	1
167	1
168	1
169	32
170	2
171	2
172	11
173	2
174	6
175	1
176	6
177	2
178	1
179	10
180	1
181	1
182	5
183	5
184	1
185	6
186	7
187	2
188	2
189	29
191	2
192	1
193	3
194	4
196	1
197	1
198	1
199	1
200	8
201	12
202	61
203	6
204	2
205	23
206	1
207	1
209	1
210	1
211	1
212	1
213	18
214	2
216	2
217	4
218	2
219	2
220	1
221	3
222	11
223	1
224	4
225	1
226	2
227	11
228	5
229	2
231	15
232	2
233	1
234	20
235	3
236	1
237	7
238	1
239	1
240	6
242	6
243	3
244	1
245	2
246	3
247	25
248	8
250	3
251	1
253	3
254	2
255	2
256	1
257	2
258	4
259	1
260	1
261	1
262	1
263	2
264	1
265	1
266	5
267	1
268	1
269	1
270	1
271	5
272	1
273	6
274	1
275	14
276	3
277	1
278	6
279	3
280	1
281	2
282	20
283	4
284	2
285	1
287	11
288	1
289	1
290	1
291	2
293	1
294	5
295	5
296	2
297	2
298	2
299	1
300	3
301	3
302	36
304	1
305	7
306	2
307	1
308	42
309	1
310	6
312	2
313	1
314	1
315	9
316	19
317	3
318	4
319	1
320	1
321	1
322	3
323	2
324	1
326	1
327	4
328	2
329	2
330	1
331	2
332	13
333	2
334	6
335	2
336	24
337	1
338	1
339	1
340	6
341	4
342	7
343	1
344	1
346	1
347	17
348	1
349	1
350	1
351	1
352	6
353	2
354	3
355	5
356	1
357	1
358	1
359	69
360	7
361	10
362	51
363	2
364	1
365	4
366	14
367	9
368	1
369	16
370	3
371	2
372	7
373	1
374	2
376	1
377	43
378	3
379	3
380	4
381	1
382	2
384	1
385	5
386	1
387	1
388	4
389	1
390	12
391	2
392	3
393	4
394	5
395	7
396	2
397	42
398	1
399	1
400	7
401	2
402	1
403	7
404	1
405	3
406	15
407	3
408	2
409	7
410	6
411	1
412	24
413	2
414	6
415	2
416	31
417	2
418	8
419	1
420	3
421	5
422	1
423	1
424	3
425	4
426	1
428	2
429	10
430	1
431	8
432	2
433	3
434	2
435	5
437	6
438	2
439	2
440	19
441	1
442	13
443	6
444	2
445	13
446	2
447	18
448	1
449	12
450	1
451	3
452	4
453	1
454	57
455	1
456	3
457	1
458	1
459	2
460	4
461	1
463	7
464	1
465	9
466	3
467	13
468	22
469	2
470	3
471	3
473	1
474	2
476	1
477	20
478	1
479	1
480	6
481	4
482	3
483	5
484	4
486	1
487	1
488	1
489	2
490	3
491	3
492	1
493	13
494	21
495	7
496	5
497	2
498	29
499	1
500	1
501	1
502	3
503	1
504	6
505	1
506	2
507	1
508	7
509	9
510	1
511	10
512	4
513	7
514	1
515	3
516	2
517	1
518	11
519	2
520	1
521	1
522	3
523	24
524	6
525	1
526	3
527	1
528	3
529	2
530	1
531	7
532	34
533	10
535	1
536	3
537	26
538	13
539	12
540	1
541	2
542	1
543	2
544	7
545	3
546	27
547	69
548	1
549	3
550	2
551	3
552	4
553	3
554	2
555	18
556	2
557	4
558	1
559	10
560	3
561	24
562	2
563	7
564	1
565	4
566	1
567	3
568	12
569	5
570	1
571	2
572	8
574	1
576	2
577	8
578	6
579	18
580	2
581	1
582	3
583	1
584	5
588	8
589	13
590	1
591	2
592	1
593	1
594	1
595	3
596	1
597	6
598	1
600	2
601	2
602	1
603	2
604	21
605	1
606	4
607	2
608	2
609	1
610	2
612	3
613	7
614	1
615	1
616	2
617	8
618	6
619	2
620	7
621	2
622	4
623	15
624	3
625	8
626	6
627	1
628	2
629	9
630	5
632	4
633	4
634	32
635	5
637	7
638	5
639	2
640	7
641	1
642	19
643	1
644	4
645	27
646	2
647	2
649	11
650	1
651	3
652	10
653	30
654	3
655	1
656	8
657	1
658	6
659	2
660	4
661	6
662	2
663	6
665	1
667	9
668	3
669	8
670	2
671	1
672	1
673	3
674	1
675	2
676	1
677	3
678	2
679	2
680	29
681	2
682	4
683	3
684	1
685	8
686	10
687	4
688	9
690	3
691	3
692	13
694	1
695	4
696	5
697	1
698	1
699	1
700	1
701	1
703	1
704	25
705	1
706	2
707	22
708	27
709	4
710	2
712	3
713	13
714	4
715	34
716	5
