index	char	rank	score	top5
0	　			
1	、	1	0.778	、〜ち礼！
2	・	568		十争キゃ今
3	？	1	0.801	？2つ39
4	！	1	0.573	！士全土ぞ
5	々	1	0.592	々セヤラサ
6	ー	557		？！黙鳴魔
7	〜	1	0.519	〜、ウツリ
8	…	1	0.832	…中円引用
9	『	1	0.887	『ドに匠じ
10	』	1	0.801	』1エェニ
11	0	2	0.824	O0C96
12	1	654	-0.13	上土ェ士主
13	2	1	0.638	2？38ニ
14	3	1	0.765	389O5
15	4	1	0.722	4違ィ達ォ
16	5	1	0.77	56し89
17	6	1	0.818	6O8C0
18	7	1	0.803	7マ了下？
19	8	1	0.86	86O03
20	9	1	0.854	9O083
21	C	1	0.69	C6O08
22	D	1	0.84	DOC09
23	O	1	0.924	O0C69
24	R	1	0.636	RD打賢代
25	Z	1	0.772	Zニエユ正
26	ぁ	1	0.557	ぁあ勢ダわ
27	あ	2	0.564	ぁあも島お
28	い	1	0.556	いレ0Oト
29	う	1	0.763	うろモぞそ
30	ぇ	1	0.63	ぇえん大た
31	え	2	0.683	ぇえ迷元そ
32	ぉ	2	0.495	わぉおぁね
33	お	1	0.571	おあぁぉ心
34	か	1	0.564	かザがサ々
35	が	1	0.659	がかザぎ新
36	き	1	0.5	きさち着急
37	ぎ	1	0.58	ぎざダギど
38	く	1	0.526	くイィ炎ビ
39	ぐ	1	0.483	ぐぞそく不
40	け	1	0.706	けげほはぱ
41	げ	1	0.723	げぼぽばぱ
42	こ	1	0.77	こニエェユ
43	ご	1	0.789	ごどこビピ
44	さ	1	0.473	さどご8と
45	ざ	1	0.469	ざごどぎと
46	し	1	0.619	しCじ6ら
47	じ	3	0.525	Cしじ60
48	す	13	0.33	ォオさィざ
49	ず	1	0.571	ずざすザギ
50	せ	1	0.596	せセぜサき
51	ぜ	1	0.644	ぜザせィイ
52	そ	1	0.793	そモぞチ千
53	ぞ	1	0.529	ぞデそチ十
54	た	1	0.607	ただハ新冷
55	だ	1	0.642	だたびぴど
56	ち	1	0.573	ちろぁあわ
57	っ	2	0.668	つっ1りリ
58	つ	1	0.649	つっリウり
59	づ	1	0.641	づがびざぴ
60	て	1	0.669	てで！ずご
61	で	1	0.66	でてそぞっ
62	と	1	0.74	とどヒ8ピ
63	ど	1	0.698	どビピごと
64	な	1	0.443	なたね急息
65	に	1	0.704	にじしはぼ
66	ね	1	0.476	ねわぉ若れ
67	の	1	0.675	の刀0OC
68	は	1	0.752	はけほぱば
69	ば	1	0.745	ばぱぼぽげ
70	ぱ	2	0.698	ばぱぽぼげ
71	ひ	1	0.651	ひDOび段
72	び	1	0.742	びぴひ打立
73	ぴ	1	0.74	ぴびひ打立
74	ふ	1	0.579	ふぶみんム
75	ぶ	2	0.332	ムぶ水ん本
76	へ	2	0.558	ヘへ六さ気
77	べ	4	0.285	ヘへバべ六
78	ほ	1	0.728	ほはけぱば
79	ぼ	1	0.753	ぼぱばぽげ
80	ぽ	1	0.769	ぽぼばぱげ
81	ま	1	0.656	まょよ水土
82	み	1	0.667	みふ専ろ今
83	む	1	0.707	む行CせO
84	め	1	0.692	め約的カあ
85	も	1	0.486	もち心ん化
86	ゃ	2	0.623	やゃャヤウ
87	や	1	0.569	やゃヤャ幸
88	ょ	1	0.771	ょよま主丈
89	よ	2	0.761	ょよま汝永
90	ら	1	0.534	らろ6るち
91	り	1	0.517	りリOうつ
92	る	1	0.676	るろ5あぁ
93	れ	4	0.383	セ救われ数
94	ろ	1	0.691	ろる56あ
95	わ	1	0.704	わセうめせ
96	を	1	0.649	を起止ぎき
97	ん	1	0.572	んただハち
98	ァ	1	0.525	ァぞ了7マ
99	ィ	1	0.893	ィイげ作ォ
100	イ	2	0.824	ィイげ弾怪
101	ウ	2	0.546	ラウづうリ
102	ェ	1	0.558	ェエごまょ
103	エ	2	0.464	ェエご上広
104	ォ	2	0.639	オォす件仲
105	オ	1	0.584	オォ本ザざ
106	カ	6	0.307	ヵガヤ々ャ
107	ガ	1	0.508	ガサギザィ
108	キ	1	0.6	キィ々先イ
109	ギ	1	0.628	ギキ考ィダ
110	ク	2	0.457	グクデジヶ
111	グ	1	0.475	グズブダプ
112	ケ	2	0.688	ヶケサザせ
113	コ	79	0.128	づツッごっ
114	サ	2	0.656	ザサぜせケ
115	ザ	1	0.493	ザずが代ぎ
116	シ	1	0.765	シンッフツ
117	ジ	1	0.787	ジンシブプ
118	ス	24	0.225	ブプグジダ
119	ズ	4	0.474	ブプグズダ
120	セ	1	0.705	セとせモ分
121	タ	6	0.319	ジフグデッ
122	ダ	4	0.332	デズチダぎ
123	チ	1	0.829	チデ十千歩
124	ッ	2	0.592	ツッリウっ
125	ツ	2	0.587	ッツクタシ
126	テ	7	0.334	チデ千十モ
127	デ	1	0.813	デチ十千ぎ
128	ト	69	0.192	D56行打
129	ド	2	0.443	トドR圧代
130	ナ	1	0.686	ナテャヤず
131	ニ	3	0.346	ェムニ広ュ
132	ネ	1	0.718	ネ本ホ傘事
133	ハ	1	0.74	ハ月かわ郎
134	バ	1	0.766	バパハだ声
135	パ	2	0.711	バパハ月だ
136	ヒ	1	0.573	ヒとビピ辻
137	ビ	1	0.571	ビピどヒと
138	ピ	1	0.515	ピビど8じ
139	フ	2	0.555	ツフックっ
140	ブ	3	0.489	サザブプッ
141	プ	1	0.67	プブザグヶ
142	ヘ	1	0.734	ヘへヶケ取
143	ホ	1	0.669	ホ本ボ小水
144	ボ	1	0.631	ボホ承ネギ
145	マ	1	0.47	マで？てず
146	ミ	1	0.619	ミョぇ元え
147	ム	1	0.516	ム六入ル人
148	メ	4	0.331	ンフジメッ
149	モ	1	0.517	モ抵千近デ
150	ャ	1	0.635	ャヤキヶギ
151	ヤ	1	0.761	ヤャセサギ
152	ュ	2	0.623	ユュニェエ
153	ユ	2	0.449	ュユニ拡ま
154	ョ	18	0.316	ニエラユェ
155	ラ	1	0.553	ラうサそテ
156	リ	2	0.568	りリO09
157	ル	1	0.735	ル永ん化水
158	レ	1	0.722	レトいシン
159	ロ	117	0.119	リツウりッ
160	ン	1	0.82	ンシジレフ
161	ヵ	3	0.74	力カヵ内刀
162	ヶ	2	0.829	ケヶグプサ
163	愛	29	0.271	受重土士里
164	悪	14	0.332	急息恵感怒
165	圧	1	0.411	圧ニ血正怪
166	安	1	0.704	安支空変普
167	暗	1	0.532	暗噂噴障鳴
168	闇	7	0.466	間開関問聞
169	以	2	0.441	似以思血抜
170	依	1	0.63	依住儀僕欲
171	偉	1	0.618	偉休体傷棒
172	囲	1	0.766	囲目回因問
173	威	1	0.452	威触敵妙感
174	意	2	0.489	危意！せ重
175	移	1	0.458	移8格ら好
176	違	1	0.495	違遠上重逃
177	医	48	0.172	ビピヒ近土
178	育	1	0.631	育真貸実奇
179	一	556		？！黙鳴魔
180	員	13	0.275	戻男見風周
