index	count	char
0	156	　
1	81	、
2	28	・
3	178	？
4	69	！
5	4	々
6	75	ー
7	1	〜
8	324	…
9	34	『
10	34	』
11	5	0
12	10	1
13	6	2
14	5	3
15	2	4
16	1	5
17	1	6
18	1	7
19	1	8
20	1	9
21	0	C
22	2	D
23	0	O
24	0	R
25	5	Z
26	3	ぁ
27	240	あ
28	658	い
29	291	う
30	4	ぇ
31	158	え
32	1	ぉ
33	76	お
34	399	か
35	311	が
36	114	き
37	5	ぎ
38	136	く
39	4	ぐ
40	130	け
41	13	げ
42	277	こ
43	16	ご
44	162	さ
45	2	ざ
46	319	し
47	117	じ
48	196	す
49	18	ず
50	47	せ
51	27	ぜ
52	149	そ
53	4	ぞ
54	520	た
55	260	だ
56	153	ち
57	412	っ
58	101	つ
59	7	づ
60	441	て
61	250	で
62	276	と
63	130	ど
64	485	な
65	332	に
66	139	ね
67	438	の
68	323	は
69	35	ば
70	3	ぱ
71	18	ひ
72	10	び
73	1	ぴ
74	5	ふ
75	22	ぶ
76	30	へ
77	3	べ
78	24	ほ
79	1	ぼ
80	1	ぽ
81	225	ま
82	62	み
83	11	む
84	48	め
85	203	も
86	105	ゃ
87	80	や
88	25	ょ
89	133	よ
90	235	ら
91	236	り
92	279	る
93	198	れ
94	67	ろ
95	140	わ
96	197	を
97	316	ん
98	2	ア
99	1	ィ
100	31	イ
101	28	ウ
102	1	ェ
103	9	エ
104	3	ォ
105	12	オ
106	7	カ
107	6	ガ
108	9	キ
109	46	ギ
110	12	ク
111	46	グ
112	6	ケ
113	4	コ
114	9	サ
115	21	ザ
116	6	シ
117	17	ジ
118	27	ス
119	21	ズ
120	1	セ
121	48	タ
122	7	ダ
123	23	チ
124	21	ッ
125	2	ツ
126	4	テ
127	5	デ
128	44	ト
129	8	ド
130	4	ナ
131	4	ニ
132	5	ネ
133	15	ハ
134	23	バ
135	2	パ
136	3	ヒ
137	16	ビ
138	6	ピ
139	8	フ
140	2	ブ
141	2	プ
142	3	ヘ
143	1	ホ
144	2	ボ
145	12	マ
146	0	ミ
147	13	ム
148	70	メ
149	2	モ
150	51	ャ
151	3	ヤ
152	2	ュ
153	1	ユ
154	11	ョ
155	20	ラ
156	35	リ
157	58	ル
158	1	レ
159	12	ロ
160	96	ン
161	2	ヵ
162	1	ヶ
163	1	愛
164	5	悪
165	1	圧
166	0	安
167	1	暗
168	1	闇
169	32	以
170	2	依
171	2	偉
172	11	囲
173	2	威
174	6	意
175	1	移
176	6	違
177	2	医
178	1	育
179	10	一
180	1	員
181	1	因
182	5	引
183	5	飲
184	1	院
185	6	隠
186	7	噂
187	2	運
188	2	雲
189	29	影
190	0	永
191	2	鋭
192	1	越
193	3	円
194	4	延
195	0	炎
196	1	遠
197	1	汚
198	1	応
199	1	押
200	8	横
201	12	屋
202	61	俺
203	6	下
204	2	化
205	23	何
206	1	暇
207	1	果
208	0	火
209	1	華
210	1	過
211	1	我
212	1	介
213	18	会
214	2	解
215	0	回
216	2	壊
217	4	怪
218	2	戒
219	2	界
220	1	開
221	3	外
222	11	街
223	1	嚇
224	4	拡
225	1	格
226	2	獲
227	11	確
228	5	覚
229	2	勘
230	0	完
231	15	感
232	2	換
233	1	簡
234	20	間
235	3	関
236	1	眼
237	7	顔
238	1	願
239	1	企
240	6	危
241	0	喜
242	6	器
243	3	奇
244	1	期
245	2	機
246	3	帰
247	25	気
248	8	起
249	0	飢
250	3	鬼
251	1	儀
252	0	技
253	3	犠
254	2	疑
255	2	議
256	1	詰
257	2	客
258	4	逆
259	1	休
260	1	吸
261	1	急
262	1	救
263	2	拠
264	1	許
265	1	京
266	5	供
267	1	競
268	1	凶
269	1	協
270	1	境
271	5	強
272	1	怯
273	6	恐
274	1	挟
275	14	教
276	3	胸
277	1	驚
278	6	暁
279	3	業
280	1	筋
281	2	緊
282	20	近
283	4	金
284	2	苦
285	1	駆
286	0	愚
287	11	空
288	1	偶
289	1	屈
290	1	掘
291	2	繰
292	0	形
293	1	恵
294	5	警
295	5	撃
296	2	激
297	2	傑
298	2	決
299	1	結
300	3	血
301	3	月
302	36	件
303	0	剣
304	1	嫌
305	7	建
306	2	検
307	1	肩
308	42	見
309	1	賢
310	6	険
311	0	顕
312	2	元
313	1	原
314	1	幻
315	9	現
316	19	言
317	3	古
318	4	呼
319	1	固
320	1	誇
321	1	雇
322	3	後
323	2	御
324	1	悟
325	0	光
326	1	公
327	4	効
328	2	口
329	2	好
330	1	幸
331	2	広
332	13	抗
333	2	構
334	6	考
335	2	荒
336	24	行
337	1	高
338	1	国
339	1	骨
340	6	込
341	4	頃
342	7	今
343	1	困
344	1	恨
345	0	混
346	1	座
347	17	最
348	1	済
349	1	祭
350	1	細
351	1	在
352	6	作
353	2	索
354	3	察
355	5	殺
356	1	傘
357	1	参
358	1	散
359	69	斬
360	7	残
361	10	仕
362	51	使
363	2	刺
364	1	士
365	4	始
366	14	姿
367	9	子
368	1	師
369	16	思
370	3	支
371	2	止
372	7	死
373	1	私
374	2	紫
375	0	至
376	1	視
377	43	事
378	3	似
379	3	侍
380	4	持
381	1	時
382	2	次
383	0	示
384	1	耳
385	5	自
386	1	辞
387	1	失
388	4	実
389	1	射
390	12	者
391	2	邪
392	3	借
393	4	若
394	5	主
395	7	取
396	2	守
397	42	手
398	1	酒
399	1	首
400	7	受
401	2	呪
402	1	収
403	7	周
404	1	秋
405	3	終
406	15	襲
407	3	酬
408	2	集
409	7	住
410	6	十
411	1	従
412	24	渋
413	2	重
414	6	銃
415	2	宿
416	31	出
417	2	初
418	8	所
419	1	緒
420	3	書
421	5	助
422	1	女
423	1	除
424	3	傷
425	4	勝
426	1	匠
427	0	唱
428	2	小
429	10	少
430	1	承
431	8	消
432	2	焼
433	3	笑
434	2	証
435	5	詳
436	0	障
437	6	上
438	2	丈
439	2	乗
440	19	場
441	1	壌
442	13	情
443	6	触
444	2	伸
445	13	信
446	2	寝
447	18	心
448	1	振
449	12	新
450	1	深
451	3	真
452	4	神
453	1	身
454	57	人
455	1	刃
456	3	吹
457	1	推
458	1	水
459	2	数
460	4	世
461	1	凄
462	0	制
463	7	勢
464	1	整
465	9	正
466	3	牲
467	13	生
468	22	精
469	2	声
470	3	静
471	3	跡
472	0	接
473	1	折
474	2	先
475	0	千
476	1	専
477	20	戦
478	1	船
479	1	選
480	6	前
481	4	然
482	3	全
483	5	狙
484	4	素
485	0	蘇
486	1	双
487	1	倉
488	1	層
489	2	想
490	3	捜
491	3	操
492	1	早
493	13	争
494	21	相
495	7	装
496	5	騒
497	2	像
498	29	蔵
499	1	造
500	1	側
501	1	即
502	3	息
503	1	束
504	6	足
505	1	速
506	2	続
507	1	存
508	7	他
509	9	多
510	1	打
511	10	体
512	4	対
513	7	待
514	1	袋
515	3	貸
516	2	退
517	1	代
518	11	大
519	2	題
520	1	択
521	1	叩
522	3	達
523	24	谷
524	6	誰
525	1	単
526	3	探
527	1	短
528	3	弾
529	2	断
530	1	段
531	7	男
532	34	知
533	10	地
534	0	致
535	1	遅
536	3	着
537	26	中
538	13	仲
539	12	張
540	1	挑
541	2	調
542	1	直
543	2	珍
544	7	追
545	3	痛
546	27	通
547	69	辻
548	1	定
549	3	底
550	2	抵
551	3	敵
552	4	的
553	3	徹
554	2	天
555	18	店
556	2	電
557	4	渡
558	1	途
559	10	度
560	3	土
561	24	奴
562	2	怒
563	7	倒
564	1	刀
565	4	島
566	1	投
567	3	東
568	12	当
569	5	答
570	1	討
571	2	踏
572	8	逃
573	0	透
574	1	頭
575	0	闘
576	2	働
577	8	動
578	6	同
579	18	堂
580	2	特
581	1	届
582	3	内
583	1	謎
584	5	縄
585	0	難
586	0	汝
587	0	肉
588	8	日
589	13	入
590	1	熱
591	2	年
592	1	念
593	1	能
594	1	派
595	3	婆
596	1	排
597	6	配
598	1	売
599	0	縛
600	2	発
601	2	抜
602	1	判
603	2	反
604	21	犯
605	1	番
606	4	彼
607	2	悲
608	2	疲
609	1	秘
610	2	緋
611	0	避
612	3	必
613	7	表
614	1	評
615	1	病
616	2	品
617	8	浜
618	6	不
619	2	夫
620	7	普
621	2	浮
622	4	負
623	15	武
624	3	部
625	8	風
626	6	復
627	1	幅
628	2	払
629	9	物
630	5	分
631	0	噴
632	4	雰
633	4	文
634	32	聞
635	5	平
636	0	壁
637	7	別
638	5	変
639	2	返
640	7	舗
641	1	歩
642	19	報
643	1	放
644	4	方
645	27	法
646	2	坊
647	2	暴
648	0	望
649	11	棒
650	1	僕
651	3	没
652	10	本
653	30	魔
654	3	末
655	1	満
656	8	味
657	1	密
658	6	妙
659	2	眠
660	4	無
661	6	名
662	2	命
663	6	明
664	0	迷
665	1	鳴
666	0	滅
667	9	面
668	3	黙
669	8	目
670	2	戻
671	1	問
672	1	門
673	3	野
674	1	厄
675	2	役
676	1	約
677	3	友
678	2	有
679	2	様
680	29	用
681	2	葉
682	4	要
683	3	踊
684	1	欲
685	8	来
686	10	頼
687	4	絡
688	9	落
689	0	乱
690	3	利
691	3	理
692	13	裏
693	0	里
694	1	離
695	4	立
696	5	流
697	1	溜
698	1	慮
699	1	了
700	1	両
701	1	料
702	0	療
703	1	良
704	25	力
705	1	冷
706	2	礼
707	22	霊
708	27	連
709	4	路
710	2	楼
711	0	浪
712	3	郎
713	13	六
714	4	和
715	34	話
716	5	腕
